Temperatur_K,Druck_bar,Lambda,Phi,EGR_Rate,Zuendverzug_s
700.0,50.0,3.5999999999999996,0.2777777777777778,0.49999999999999994,7.637163943706546e-18
700.0,50.0,3.5999999999999996,0.2777777777777778,0.6,
700.0,50.0,4.066666666666666,0.24590163934426232,0.0,0.04368408829757944
700.0,50.0,4.066666666666666,0.24590163934426232,0.09999999999999999,1.343939038130857e-17
700.0,50.0,4.066666666666666,0.24590163934426232,0.19999999999999998,1.0094703310757601e-17
700.0,50.0,4.066666666666666,0.24590163934426232,0.3,8.824592782817395e-18
700.0,50.0,4.066666666666666,0.24590163934426232,0.39999999999999997,8.266992167524942e-18
700.0,50.0,4.066666666666666,0.24590163934426232,0.49999999999999994,
700.0,50.0,4.066666666666666,0.24590163934426232,0.6,
700.0,50.0,4.533333333333333,0.22058823529411764,0.0,0.06377988836287815
700.0,50.0,4.533333333333333,0.22058823529411764,0.09999999999999999,1.4186523983235012e-17
700.0,50.0,4.533333333333333,0.22058823529411764,0.19999999999999998,1.0655143704310227e-17
700.0,50.0,4.533333333333333,0.22058823529411764,0.3,9.313864808150559e-18
700.0,50.0,4.533333333333333,0.22058823529411764,0.39999999999999997,
700.0,50.0,4.533333333333333,0.22058823529411764,0.49999999999999994,
700.0,50.0,4.533333333333333,0.22058823529411764,0.6,
700.0,50.0,5.0,0.2,0.0,0.0884078819120501
700.0,50.0,5.0,0.2,0.09999999999999999,1.4896231457405432e-17
700.0,50.0,5.0,0.2,0.19999999999999998,1.118754395686485e-17
700.0,50.0,5.0,0.2,0.3,
700.0,50.0,5.0,0.2,0.39999999999999997,
700.0,50.0,5.0,0.2,0.49999999999999994,
700.0,50.0,5.0,0.2,0.6,
700.0,70.0,0.8,1.25,0.0,0.0013591196948328683
700.0,70.0,0.8,1.25,0.09999999999999999,5.080457760685792e-18
700.0,70.0,0.8,1.25,0.19999999999999998,3.826567647126618e-18
700.0,70.0,0.8,1.25,0.3,3.35420403682183e-18
700.0,70.0,0.8,1.25,0.39999999999999997,3.150706527495998e-18
700.0,70.0,0.8,1.25,0.49999999999999994,3.0998664406204734e-18
700.0,70.0,0.8,1.25,0.6,3.176815481909958e-18
700.0,70.0,1.2666666666666666,0.7894736842105263,0.0,0.0016147453966175644
700.0,70.0,1.2666666666666666,0.7894736842105263,0.09999999999999999,6.3682090096628235e-18
700.0,70.0,1.2666666666666666,0.7894736842105263,0.19999999999999998,4.7905204286719135e-18
700.0,70.0,1.2666666666666666,0.7894736842105263,0.3,4.194009204536978e-18
700.0,70.0,1.2666666666666666,0.7894736842105263,0.39999999999999997,3.934794462465586e-18
700.0,70.0,1.2666666666666666,0.7894736842105263,0.49999999999999994,3.8666842684971905e-18
700.0,70.0,1.2666666666666666,0.7894736842105263,0.6,3.958007613937619e-18
700.0,70.0,1.7333333333333334,0.5769230769230769,0.0,0.002244071785118909
700.0,70.0,1.7333333333333334,0.5769230769230769,0.09999999999999999,7.4362033944338e-18
700.0,70.0,1.7333333333333334,0.5769230769230769,0.19999999999999998,5.590666507404074e-18
700.0,70.0,1.7333333333333334,0.5769230769230769,0.3,4.8917013088341674e-18
700.0,70.0,1.7333333333333334,0.5769230769230769,0.39999999999999997,4.586748663410038e-18
700.0,70.0,1.7333333333333334,0.5769230769230769,0.49999999999999994,4.504811040965233e-18
